player_id,name,age,nationality,team,position,league,image
13,Dan-Axel Zagadou,24.0,France,Borussia Dortmund,Defender,Bundesliga,https://media-3.api-sports.io/football/players/13.png
1445,Konstantinos Mavropanos,26.0,Greece,VfB Stuttgart,Defender,Bundesliga,https://media.api-sports.io/football/players/1445.png
8500,Wataru Endo,30.0,Japan,VfB Stuttgart,Midfielder,Bundesliga,https://media.api-sports.io/football/players/8500.png
24798,Chris Führich,25.0,Germany,VfB Stuttgart,Midfielder,Bundesliga,https://media.api-sports.io/football/players/24798.png
24806,Nikolas Terkelsen Nartey,23.0,Denmark,VfB Stuttgart,Midfielder,Bundesliga,https://media.api-sports.io/football/players/24806.png
24963,Atakan Karazor,27.0,Germany,VfB Stuttgart,Defender,Bundesliga,https://media.api-sports.io/football/players/24963.png
25298,André Hahn,33.0,Germany,FC Augsburg,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/25298.png
25299,Hans Fredrik Jensen,26.0,Finland,FC Augsburg,Midfielder,Bundesliga,https://media.api-sports.io/football/players/25299.png
25368,Waldemar Alexandrovich Riptsov Anton,27.0,Germany,VfB Stuttgart,Defender,Bundesliga,https://media-3.api-sports.io/football/players/25368.png
25379,Genki Haraguchi,32.0,Japan,Union Berlin,Midfielder,Bundesliga,https://media.api-sports.io/football/players/25379.png
25597,Fabian Bredlow,28.0,Germany,VfB Stuttgart,Goalkeeper,Bundesliga,https://media.api-sports.io/football/players/25597.png
25905,Florian Müller,26.0,Germany,VfB Stuttgart,Goalkeeper,Bundesliga,https://media-3.api-sports.io/football/players/25905.png
26303,Borna Sosa,25.0,Croatia,VfB Stuttgart,Defender,Bundesliga,https://media-3.api-sports.io/football/players/26303.png
32893,Hiroki Ito,24.0,Japan,VfB Stuttgart,Defender,Bundesliga,https://media.api-sports.io/football/players/32893.png
46930,Ermedin Demirović,25.0,Bosnia and Herzegovina,SC Freiburg,Attacker,Bundesliga,https://media-3.api-sports.io/football/players/46930.png
113581,Tanguy Coulibaly,22.0,France,VfB Stuttgart,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/113581.png
162887,Enzo Camille Alain Millot,21.0,France,VfB Stuttgart,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/162887.png
179567,Lilian Niclas Egloff,21.0,Germany,VfB Stuttgart,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/179567.png
207236,Ömer Faruk Beyaz,20.0,Turkey,VfB Stuttgart,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/207236.png
265363,Tiago Barreiros de Melo Tomás,21.0,Portugal,VfB Stuttgart,Attacker,Bundesliga,https://media-3.api-sports.io/football/players/265363.png
421,Breel Donald Embolo,26.0,Switzerland,Borussia Monchengladbach,Attacker,Bundesliga,https://media.api-sports.io/football/players/421.png
519,Corentin Tolisso,29.0,France,Bayern Munich,Midfielder,Bundesliga,https://media.api-sports.io/football/players/519.png
1146,Nordi Mukiele Mulere,26.0,France,RB Leipzig,Defender,Bundesliga,https://media.api-sports.io/football/players/1146.png
21153,Baptiste Santamaría,28.0,France,SC Freiburg,Midfielder,Bundesliga,https://media.api-sports.io/football/players/21153.png
22179,Myziane Maolida,24.0,France,Hertha Berlin,Attacker,Bundesliga,https://media-3.api-sports.io/football/players/22179.png
25287,Kevin Danso,25.0,Austria,FC Augsburg,Defender,Bundesliga,https://media.api-sports.io/football/players/25287.png
26087,Benjamin Uphoff,30.0,Germany,SC Freiburg,Goalkeeper,Bundesliga,https://media-3.api-sports.io/football/players/26087.png
26239,Lukas Kübler,31.0,Germany,SC Freiburg,Defender,Bundesliga,https://media-3.api-sports.io/football/players/26239.png
26252,Roland Sallai,26.0,Hungary,SC Freiburg,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/26252.png
26255,Lucas Höler,29.0,Germany,SC Freiburg,Attacker,Bundesliga,https://media-3.api-sports.io/football/players/26255.png
37473,Vincent Vermeij,29.0,Netherlands,SC Freiburg,Attacker,Bundesliga,https://media.api-sports.io/football/players/37473.png
162037,Malik Leon Tillman,21.0,USA,Bayern Munich,Attacker,Bundesliga,https://media.api-sports.io/football/players/162037.png
178709,Yannik Engelhardt,22.0,Germany,SC Freiburg,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/178709.png
178768,Noah Atubolu,21.0,Germany,SC Freiburg,Goalkeeper,Bundesliga,https://media-3.api-sports.io/football/players/178768.png
202843,Tan-Kenneth Jerico Leka-Schmidt,21.0,Germany,SC Freiburg,Defender,Bundesliga,https://media-3.api-sports.io/football/players/202843.png
202844,Noah Raphael Weißhaupt,22.0,Germany,SC Freiburg,Attacker,Bundesliga,https://media-3.api-sports.io/football/players/202844.png
202884,Kimberly Chiwetalu Akwaeze Ezekwem,22.0,Germany,SC Freiburg,Defender,Bundesliga,https://media.api-sports.io/football/players/202884.png
280024,Robert Wagner,20.0,Germany,SC Freiburg,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/280024.png
287932,Ben Bobzien,20.0,Germany,FSV Mainz 05,Attacker,Bundesliga,https://media.api-sports.io/football/players/287932.png
327871,Alexis Ronaldo Tibidi,20.0,France,VfB Stuttgart,Midfielder,Bundesliga,https://media-3.api-sports.io/football/players/327871.png
