team_id,name,country,league,venue,city,top_players,image
529,Barcelona,Spain,La Liga,Spotify Camp Nou,Barcelona,"Memphis Depay, Pierre-Emerick Emiliano Franço Aubameyang, Luuk de Jong",https://media.api-sports.io/football/teams/529.png
530,Atletico Madrid,Spain,La Liga,Estádio Cívitas Metropolitano,Madrid,"Ángel Martín Correa Martínez, Luis Alberto Suárez Díaz, João Félix Sequeira",https://media.api-sports.io/football/teams/530.png
531,Athletic Club,Spain,La Liga,San Mamés Barria,Bilbao,"Iñaki Arthuer Dannis Williams, Raúl García Escudero, Oihan Sancet Tirapu",https://media-3.api-sports.io/football/teams/531.png
532,Valencia,Spain,La Liga,Estadio de Mestalla,Valencia,"Carlos Soler Barragán, Gonçalo Manuel Ganchinho Guedes, Carlos Soler Barragán",https://media.api-sports.io/football/teams/532.png
533,Villarreal,Spain,La Liga,Estadio de la Cerámica,Villarreal,"Arnaut Danjuma Adam Groeneveld, Arnaut Danjuma Adam Groeneveld, Gerard Moreno Balagueró",https://media-3.api-sports.io/football/teams/533.png
536,Sevilla,Spain,La Liga,Estadio Ramón Sánchez Pizjuán,Sevilla,"Rafael Mir Vicente, Rafael Mir Vicente, Lucas Ariel Ocampos",https://media.api-sports.io/football/teams/536.png
538,Celta Vigo,Spain,La Liga,Abanca-Balaídos,Vigo,"Iago Aspas Juncal, Santiago Mina Lorenzo, Brais Méndez Portela",https://media-3.api-sports.io/football/teams/538.png
539,Levante,Spain,La Liga,Estadio Ciudad de Valencia,Valencia,"José Luis Morales Nogales, Jorge de Frutos Sebastián, Daniel Gómez Alcón",https://media-3.api-sports.io/football/teams/539.png
540,Espanyol,Spain,La Liga,RCDE Stadium,Cornella de Llobregat,"Javier Puado Díaz, Sergi Darder Moll, Aleix Vidal Parreu",https://media-3.api-sports.io/football/teams/540.png
541,Real Madrid,Spain,La Liga,Estadio Santiago Bernabéu,Madrid,"Karim Mostafa Benzema, Karim Mostafa Benzema, Vinícius José Paixão de Oliveira Júnior",https://media.api-sports.io/football/teams/541.png
542,Alaves,Spain,La Liga,Estadio de Mendizorroza,Vitoria-Gasteiz,"José Luis Sanmartín Mato, Víctor Laguardia Cisneros, Mamadou Loum N'Diaye",https://media.api-sports.io/football/teams/542.png
